# Simulation 1 (Up to date)
# 165 data points written for 2 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Large angle of attack encountered (21.6).
#
# Time (s),CG location (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,54.008
0.02,54.006
0.03,54.004
0.04,54.001
0.05,53.999
0.06,53.997
0.07,53.995
0.08,53.993
0.09,53.991
0.1,53.989
0.11,53.987
0.12,53.985
0.13,53.983
0.14,53.98
0.15,53.978
0.16,53.972
0.17,53.967
0.18,53.961
0.19,53.956
0.2,53.95
0.21,53.945
0.22,53.939
0.23,53.933
0.24,53.926
0.25,53.918
0.26,53.91
0.27,53.902
0.28,53.894
0.29,53.886
0.3,53.877
0.31,53.867
0.32,53.857
0.33,53.846
# Event LIFTOFF occurred at t=0.34 seconds
0.34,53.836
0.35,53.826
0.36,53.815
0.37,53.803
0.38,53.791
0.39,53.778
0.4,53.765
0.41,53.751
0.42,53.738
0.43,53.725
0.44,53.711
0.45,53.698
0.46,53.684
0.47,53.671
0.48,53.658
0.49,53.646
0.5,53.633
0.51,53.621
0.52,53.609
0.53,53.598
0.54,53.587
0.55,53.576
0.56,53.564
0.57,53.553
0.58,53.542
0.59,53.531
0.6,53.52
0.61,53.51
0.62,53.5
0.63,53.49
0.64,53.479
0.65,53.469
0.66,53.459
0.67,53.449
0.68,53.438
0.69,53.428
0.7,53.419
0.71,53.409
0.72,53.4
0.73,53.39
0.74,53.381
0.75,53.371
# Event LAUNCHROD occurred at t=0.76 seconds
0.76,53.362
0.775,53.348
0.798,53.326
0.831,53.294
0.881,53.248
0.931,53.203
0.981,53.158
1.031,53.114
1.081,53.07
1.131,53.027
1.181,52.984
1.231,52.941
1.281,52.898
1.331,52.856
1.381,52.814
1.431,52.771
1.481,52.727
1.531,52.684
1.581,52.641
1.631,52.599
1.681,52.556
1.731,52.513
1.781,52.471
1.831,52.429
1.881,52.387
1.931,52.345
1.981,52.303
2.031,52.261
2.081,52.219
2.131,52.177
2.181,52.136
2.231,52.094
2.281,52.053
2.331,52.011
2.381,51.97
2.431,51.928
2.481,51.887
2.531,51.846
2.581,51.805
2.631,51.765
2.681,51.724
2.731,51.684
2.781,51.643
2.831,51.603
2.881,51.563
2.931,51.523
2.981,51.483
3.031,51.442
3.081,51.402
3.131,51.362
3.181,51.322
3.231,51.282
3.281,51.241
3.331,51.201
3.381,51.161
3.431,51.137
# Event BURNOUT occurred at t=3.45 seconds
# Event EJECTION_CHARGE occurred at t=3.45 seconds
3.45,51.134
3.478,51.134
3.52,51.134
3.57,51.134
3.62,51.134
3.67,51.134
3.72,51.134
3.77,51.134
3.82,51.134
3.87,51.134
3.92,51.134
3.97,51.134
4.02,51.134
4.07,51.134
4.12,51.134
4.17,51.134
4.22,51.134
4.27,51.134
4.32,51.134
4.37,51.134
4.42,51.134
4.47,51.134
# Event APOGEE occurred at t=4.52 seconds
4.52,51.134
4.57,51.134
# Event TUMBLE occurred at t=4.62 seconds
4.62,51.134
4.625,NaN
5.125,NaN
5.625,NaN
5.897,NaN
6.147,NaN
6.412,NaN
6.695,NaN
7.013,NaN
# Event GROUND_HIT occurred at t=7.237 seconds
# Event SIMULATION_END occurred at t=7.237 seconds
7.237,NaN
