Time_s,Output,Input
0,0.0025843903523721,1
0.05,0.00438170020945507,1
0.1,0.00924020372984136,1
0.15,0.0282908956671222,1
0.2,0.0561788477805992,1
0.25,0.08153656252643,1
0.3,0.102854850888403,1
0.35,0.127985304197214,1
0.4,0.160901337351686,1
0.45,0.196628943838726,1
0.5,0.229396837257415,1
0.55,0.260219810395412,1
0.6,0.293692524354488,1
0.65,0.330629606749932,1
0.7,0.367416424936697,1
0.75,0.401548792704703,1
0.8,0.434530592222049,1
0.85,0.468744587973267,1
0.9,0.50381124827213,1
0.95,0.53749079815715,1
1,0.568948143894084,1
1.05,0.599446176204573,1
1.1,0.630062890855979,1
1.15,0.660157884017524,1
1.2,0.6885140331107,1
1.25,0.715040326632186,1
1.3,0.740602423706053,1
1.35,0.765602603405056,1
1.4,0.789500268936271,1
1.45,0.811726367313351,1
1.5,0.832455476240667,1
1.55,0.852214953058085,1
1.6,0.871105253882645,1
1.65,0.888771754104736,1
1.7,0.905007906149211,1
1.75,0.920036712540055,1
1.8,0.934154611486791,1
1.85,0.947354765075624,1
1.9,0.959445408680832,1
1.95,0.97039795836162,1
2,0.980402966094528,1
2.05,0.989618586285502,1
2.1,0.998017411376318,1
2.15,1.00551876995112,1
2.2,1.01216639193255,1
2.25,1.01810006665338,1
2.3,1.02340266900674,1
2.35,1.0280562983438,1
2.4,1.03204398916239,1
2.45,1.03542797912731,1
2.5,1.03830285273598,1
2.55,1.04071329558626,1
2.6,1.04265550440539,1
2.65,1.04414265564976,1
2.7,1.0452318995329,1
2.75,1.04598416140298,1
2.8,1.04642540095888,1
2.85,1.04656162076317,1
2.9,1.04641591137863,1
2.95,1.04603253317148,1
3,1.04544938460086,1
3.05,1.04468290471933,1
3.1,1.04374333185053,1
3.15,1.04265323245105,1
3.2,1.04144345776014,1
3.25,1.04013679232844,1
3.3,1.03874414206485,1
3.35,1.03727586144385,1
3.4,1.03574970242753,1
3.45,1.03418534650104,1
3.5,1.0325958257616,1
3.55,1.03098820912015,1
3.6,1.02937074368884,1
3.65,1.02775545842185,1
3.7,1.02615371090101,1
3.75,1.02457227857773,1
3.8,1.02301526201246,1
3.85,1.02148806327561,1
3.9,1.01999766513063,1
3.95,1.01854967448501,1
4,1.01714689320799,1
4.05,1.01579110325347,1
4.1,1.01448502882646,1
4.15,1.0132318327757,1
4.2,1.01203340806362,1
4.25,1.01089009641653,1
4.3,1.0098019723465,1
4.35,1.00876967186299,1
4.4,1.00779378543894,1
4.45,1.00687398946963,1
4.5,1.00600919728966,1
4.55,1.00519835402155,1
4.6,1.00444070083737,1
4.65,1.00373529927363,1
4.7,1.00308065352414,1
4.75,1.00247495745735,1
4.8,1.00191653127609,1
4.85,1.00140384400764,1
4.9,1.00093520541863,1
4.95,1.00050864065992,1
5,1.00012210294499,1
