Time (ms),Input x,Output x,Input y,Output y,Accel x (+/- 0.1 m/s^2),Accel y (+/- 0.1 m/s^2),Accel z (+/- 0.1 m/s^2),Gyro x (+/- 0.2 rad/s),Gyro y (+/- 0.2 rad/s),Gyro z (+/- 0.2 rad/s),Flight Phase
1618914,0.00,0.00,0.00,0.00,0.71,9.68,0.01,-0.36,-0.01,0.39,2
1618922,0.83,-2.24,-2.86,7.73,0.71,9.67,0.01,-0.31,0.03,0.41,2
1618929,0.84,-2.24,-2.85,7.73,0.71,9.68,0.02,-0.24,0.02,0.42,2
1618936,0.84,-2.24,-2.87,7.73,0.71,9.68,0.02,-0.21,0.02,0.44,2
1618943,0.83,-2.24,-2.87,7.73,0.71,9.69,0.02,-0.17,0.04,0.45,2
1618950,0.83,-2.24,-2.88,7.73,0.70,9.69,0.01,-0.14,0.06,0.43,2
1618957,0.82,-2.24,-2.89,7.73,0.70,9.68,0.01,-0.16,0.04,0.42,2
1618964,0.82,-2.24,-2.89,7.73,0.70,9.69,0.02,-0.17,0.02,0.44,2
1618971,0.81,-2.24,-2.90,7.73,0.70,9.69,0.03,-0.13,0.02,0.43,2
1618978,0.81,-2.24,-2.90,7.73,0.71,9.69,0.04,-0.12,0.01,0.36,2
1618985,0.82,-2.24,-2.90,7.73,0.71,9.70,0.05,-0.07,-0.01,0.35,2
1618992,0.82,-2.24,-2.91,7.73,0.71,9.70,0.05,-0.07,0.02,0.33,2
1618999,0.82,-2.24,-2.91,7.73,0.71,9.70,0.04,-0.04,0.02,0.31,2
1619006,0.82,-2.24,-2.92,7.73,0.71,9.69,0.03,-0.02,0.02,0.37,2
1619013,0.82,-2.24,-2.92,7.73,0.71,9.69,0.03,0.03,0.02,0.41,2
1619020,0.82,0.01,-2.92,0.23,0.72,9.69,0.02,0.02,-0.01,0.42,2
1619027,0.83,0.01,-2.93,0.23,0.73,9.70,0.00,-0.01,-0.07,0.41,2
1619034,0.83,0.01,-2.93,0.23,0.72,9.72,-0.01,0.05,-0.11,0.39,2
1619041,0.84,0.01,-2.94,0.23,0.73,9.71,-0.02,0.18,-0.10,0.36,2
1619048,0.84,0.01,-2.95,0.23,0.70,9.78,-0.01,0.28,-0.10,0.31,2
1619055,0.84,0.01,-2.97,0.23,0.69,9.73,0.01,0.48,-0.10,0.29,2
1619062,0.83,0.01,-2.98,0.23,0.70,9.70,0.02,0.54,-0.03,0.22,2
1619069,0.83,0.01,-2.97,0.23,0.74,9.73,0.02,0.57,-0.01,0.22,2
1619076,0.84,0.01,-2.98,0.23,0.74,9.75,0.01,0.56,-0.07,0.27,2
1619083,0.84,0.01,-2.99,0.23,0.73,9.74,0.01,0.60,-0.14,0.28,2
1619090,0.85,0.01,-3.00,0.23,0.74,9.68,0.02,0.73,-0.28,0.27,2
1619097,0.85,0.01,-2.99,0.23,0.72,9.70,0.02,0.83,-0.41,0.27,2
1619104,0.85,0.01,-2.98,0.23,0.70,9.75,0.03,0.96,-0.52,0.24,2
1619111,0.85,0.01,-2.99,0.23,0.71,9.76,0.04,1.07,-0.53,0.25,2
1619118,0.84,0.01,-2.99,0.23,0.72,9.74,0.04,1.12,-0.57,0.28,2
1619125,0.84,-0.07,-2.99,0.23,0.72,9.73,0.05,1.27,-0.60,0.30,2
1619132,0.84,-0.07,-2.99,0.23,0.72,9.74,0.06,1.43,-0.61,0.31,2
1619139,0.84,-0.07,-2.99,0.23,0.70,9.76,0.05,1.49,-0.59,0.25,2
1619146,0.83,-0.07,-2.99,0.23,0.68,9.76,0.05,1.63,-0.50,0.23,2
1619153,0.82,-0.07,-2.98,0.23,0.68,9.77,0.05,1.80,-0.40,0.22,2
1619160,0.81,-0.07,-2.98,0.23,0.66,9.77,0.05,2.02,-0.30,0.14,2
1619167,0.80,-0.07,-2.98,0.23,0.66,9.75,0.07,2.27,-0.15,0.01,2
1619174,0.79,-0.07,-2.97,0.23,0.67,9.71,0.08,2.37,-0.03,0.05,2
1619181,0.79,-0.07,-2.96,0.23,0.73,9.74,0.08,2.51,0.02,0.08,2
1619188,0.79,-0.07,-2.95,0.23,0.77,9.77,0.07,2.49,0.00,0.07,2
1619195,0.80,-0.07,-2.95,0.23,0.77,9.73,0.08,2.64,-0.02,0.19,2
1619202,0.81,-0.07,-2.93,0.23,0.77,9.69,0.11,2.52,-0.14,0.28,2
1619209,0.82,-0.07,-2.92,0.23,0.80,9.68,0.11,2.34,-0.30,0.28,2
1619216,0.83,-0.07,-2.90,0.23,0.77,9.71,0.10,2.27,-0.56,0.18,2
1619223,0.84,-0.07,-2.89,0.23,0.81,9.73,0.10,2.08,-0.89,0.15,2
1619230,0.85,-0.03,-2.88,-0.24,0.82,9.72,0.14,1.62,-1.23,-0.17,2
1619237,0.85,-0.03,-2.87,-0.24,0.80,9.69,0.15,1.15,-1.57,-0.14,2
1619244,0.85,-0.03,-2.86,-0.24,0.80,9.67,0.14,1.12,-1.88,-0.07,2
1619251,0.85,-0.03,-2.85,-0.24,0.82,9.62,0.12,1.27,-2.04,0.56,2
1619258,0.85,-0.03,-2.84,-0.24,0.78,9.65,0.14,0.78,-2.36,0.31,2
1619265,0.84,-0.03,-2.83,-0.24,0.77,9.67,0.13,0.62,-2.29,0.67,2
1619272,0.83,-0.03,-2.82,-0.24,0.75,9.59,0.11,-0.27,-2.41,-0.16,2
1619279,0.82,-0.03,-2.82,-0.24,0.73,9.56,0.17,-0.93,-2.36,0.21,2
1619286,0.81,-0.03,-2.81,-0.24,0.79,9.61,0.19,-1.03,-2.31,0.64,2
1619293,0.80,-0.03,-2.81,-0.24,0.72,9.66,0.18,-2.20,-2.29,1.18,2
1619300,0.79,-0.03,-2.82,-0.24,0.71,9.69,0.16,-2.46,-2.36,1.23,2
1619307,0.77,-0.03,-2.84,-0.24,0.72,9.70,0.17,-2.80,-2.17,1.34,2
1619314,0.76,-0.03,-2.86,-0.24,0.67,9.73,0.12,-2.64,-2.07,1.44,2
1619321,0.74,-0.03,-2.88,-0.24,0.68,9.64,0.10,-3.46,-2.02,0.41,2
1619328,0.73,-0.03,-2.90,-0.24,0.72,9.65,0.06,-3.81,-1.83,0.76,2
1619335,0.72,0.33,-2.93,0.18,0.72,9.65,0.06,-4.71,-1.88,-0.52,2
1619342,0.71,0.33,-2.95,0.18,0.64,9.61,0.13,-5.53,-1.61,-0.61,2
1619349,0.69,0.33,-2.98,0.18,0.62,9.65,0.16,-5.16,-1.49,0.21,2
1619356,0.68,0.33,-3.01,0.18,0.74,9.66,0.20,-5.17,-1.08,-0.80,2
1619363,0.67,0.33,-3.04,0.18,0.64,9.74,0.16,-5.88,-1.01,-1.19,2
1619397,0.66,0.33,-3.09,0.18,0.58,9.86,0.03,-3.01,-0.10,-1.38,2
1619404,0.65,0.33,-3.20,0.18,0.56,9.89,-0.00,-2.38,0.05,-1.26,2
1619411,0.64,0.33,-3.24,0.18,0.65,9.87,0.05,-2.42,0.08,-2.18,2
1619418,0.63,0.33,-3.27,0.18,0.68,9.87,0.01,-2.84,0.34,-1.90,2
1619425,0.64,0.33,-3.30,0.18,0.68,9.85,0.04,-2.56,0.59,-0.23,2
1619432,0.64,0.33,-3.33,0.18,0.74,9.90,0.04,-1.74,1.16,-0.63,2
1619439,0.66,0.16,-3.35,1.22,0.67,9.85,-0.28,-2.21,1.59,-0.46,2
1619446,0.67,0.16,-3.38,1.22,0.51,9.86,-0.36,-2.13,1.87,-0.27,2
1619453,0.66,0.16,-3.41,1.22,0.42,9.79,-0.69,-3.08,2.59,-1.23,2
1619460,0.65,0.16,-3.44,1.22,0.50,9.75,-0.87,-1.26,2.82,-1.56,2
1619467,0.65,0.16,-3.45,1.22,0.50,9.79,-1.10,0.55,3.57,-0.35,2
1619474,0.66,0.16,-3.45,1.22,0.53,9.79,-1.47,-0.46,4.19,-0.60,2
1619481,0.68,0.16,-3.47,1.22,0.68,10.03,-1.40,1.81,4.06,-0.12,2
1619488,0.70,0.16,-3.49,1.22,0.66,10.01,-1.16,2.47,4.88,0.00,2
1619495,0.74,0.16,-3.51,1.22,0.51,9.97,-0.82,5.06,5.20,-0.05,2
1619502,0.76,0.16,-3.50,1.22,0.56,9.85,-0.82,6.61,5.86,1.64,2
1619509,0.78,0.16,-3.46,1.22,0.55,9.79,-1.11,6.33,6.33,1.22,2
1619516,0.81,0.16,-3.43,1.22,0.55,9.97,-1.00,6.30,6.73,1.16,2
1619523,0.84,0.16,-3.41,1.22,0.42,10.07,-0.80,6.89,7.78,1.32,2
1619530,0.87,0.16,-3.40,1.22,0.45,10.00,-0.26,7.42,7.87,-0.44,2
1619537,0.90,0.16,-3.37,1.22,0.50,9.84,-0.47,7.71,9.12,-0.51,2
1619544,0.94,-0.79,-3.32,-0.01,0.48,9.93,-0.53,8.13,9.64,-0.84,2
1619551,0.99,-0.79,-3.29,-0.01,0.36,10.02,-0.76,10.36,10.05,-0.68,2
1619558,1.02,-0.79,-3.25,-0.01,0.40,10.13,-0.75,11.49,10.98,-0.07,2
1619565,1.07,-0.79,-3.21,-0.01,0.45,10.03,-0.85,13.25,11.41,0.02,2
1619572,1.12,-0.79,-3.15,-0.01,0.40,10.11,-1.03,14.43,12.09,1.25,2
1619579,1.17,-0.79,-3.09,-0.01,0.49,10.04,-1.35,14.13,12.56,0.67,2
1619586,1.23,-0.79,-3.03,-0.01,0.48,10.09,-2.19,13.59,12.93,0.89,2
1619593,1.30,-0.79,-2.99,-0.01,0.63,9.97,-2.38,15.05,13.76,0.83,2
1619600,1.38,-0.79,-2.93,-0.01,0.65,10.01,-2.52,15.53,13.93,1.70,2
1619607,1.47,-0.79,-2.87,-0.01,0.54,10.00,-2.64,16.66,13.99,0.83,2
1619614,1.54,-0.79,-2.81,-0.01,0.56,9.94,-2.65,18.09,13.84,-0.57,2
1619621,1.61,-0.79,-2.73,-0.01,0.48,9.88,-2.41,20.78,14.33,-0.25,2
1619628,1.68,-0.79,-2.62,-0.01,0.53,9.82,-2.42,20.16,13.78,-0.02,2
1619635,1.75,-0.79,-2.51,-0.01,0.42,9.93,-2.37,19.85,14.15,-0.04,2
1619642,1.81,-0.79,-2.42,-0.01,0.54,9.91,-2.10,21.16,13.71,0.06,2
1619649,1.87,-2.53,-2.31,-2.67,0.58,10.00,-2.05,20.97,13.61,-0.07,2
1619656,1.94,-2.53,-2.22,-2.67,0.55,10.04,-1.64,20.68,13.38,-1.14,2
1619663,2.01,-2.53,-2.12,-2.67,0.50,10.13,-1.15,22.36,13.17,-0.53,2
1619670,2.07,-2.53,-2.02,-2.67,0.52,10.28,-1.02,23.54,13.22,-0.39,2
1619677,2.13,-2.53,-1.93,-2.67,0.42,10.37,-0.77,24.09,13.02,0.32,2
1619684,2.18,-2.53,-1.83,-2.67,0.44,10.44,-0.24,23.55,12.51,0.01,2
1619691,2.23,-2.53,-1.74,-2.67,0.38,10.47,0.01,24.13,12.32,0.01,2
1619698,2.27,-2.53,-1.65,-2.67,0.44,10.56,0.03,24.58,11.87,-0.31,2
1619705,2.32,-2.53,-1.56,-2.67,0.52,10.57,-0.21,25.62,11.49,0.35,2
1619712,2.36,-2.53,-1.47,-2.67,0.64,10.66,-0.21,26.52,10.80,0.07,2
1619719,2.41,-2.53,-1.38,-2.67,0.60,10.68,-0.30,26.38,10.44,0.39,2
1619726,2.46,-2.53,-1.29,-2.67,0.71,10.60,-0.30,27.34,9.74,0.43,2
1619733,2.51,-2.53,-1.19,-2.67,0.69,10.53,-0.79,26.39,8.69,0.34,2
1619740,2.54,-2.53,-1.10,-2.67,0.60,10.38,-0.67,26.06,7.71,0.73,2
1619747,2.57,-2.53,-1.00,-2.67,0.55,10.24,-0.65,25.78,6.70,1.19,2
1619754,2.58,-1.95,-0.89,-3.81,0.58,10.06,-0.85,23.56,5.70,1.38,2
1619761,2.59,-1.95,-0.78,-3.81,0.71,10.04,-1.01,23.23,4.34,1.24,2
1619768,2.60,-1.95,-0.68,-3.81,0.81,10.14,-1.45,22.52,3.07,1.41,2
1619775,2.61,-1.95,-0.59,-3.81,0.75,10.26,-1.76,22.30,1.99,1.62,2
1619782,2.61,-1.95,-0.52,-3.81,0.63,10.22,-2.00,21.67,0.95,1.65,2
1619789,2.59,-1.95,-0.46,-3.81,0.59,10.09,-1.78,21.12,-0.24,0.90,2
1619796,2.56,-1.95,-0.38,-3.81,0.52,10.04,-1.30,21.12,-1.71,0.48,2
1619803,2.51,-1.95,-0.30,-3.81,0.56,10.15,-0.96,18.85,-2.73,0.33,2
1619810,2.47,-1.95,-0.24,-3.81,0.62,10.32,-0.73,18.69,-3.87,0.88,2
1619817,2.41,-1.95,-0.19,-3.81,0.56,10.34,-0.73,17.92,-5.35,1.03,2
1619824,2.35,-1.95,-0.15,-3.81,0.56,10.40,-0.73,14.87,-6.74,0.43,2
1619831,2.27,-1.95,-0.13,-3.81,0.59,10.25,-0.45,14.67,-7.72,1.03,2
1619865,2.20,0.99,-0.10,-2.09,0.60,10.46,-0.72,6.69,-12.72,-0.89,2
1619872,1.74,0.99,0.01,-2.09,0.60,10.42,-0.71,5.28,-13.32,-1.10,2
1619879,1.63,0.99,-0.05,-2.09,0.72,10.41,-0.49,3.97,-14.35,-0.64,2
1619886,1.52,0.99,-0.13,-2.09,0.66,10.49,-0.34,4.25,-15.27,-0.40,2
1619893,1.40,0.99,-0.20,-2.09,0.65,10.43,-0.46,2.76,-16.06,0.96,2
1619900,1.28,0.99,-0.28,-2.09,0.60,10.37,-0.41,0.86,-16.75,0.54,2
1619907,1.15,0.99,-0.36,-2.09,0.68,10.39,-0.44,-0.61,-17.32,0.81,2
1619914,1.03,0.99,-0.46,-2.09,0.68,10.35,-0.66,-2.23,-17.74,0.70,2
1619921,0.90,0.99,-0.56,-2.09,0.63,10.44,-1.04,-1.99,-18.03,0.90,2
1619928,0.77,0.99,-0.67,-2.09,0.61,10.41,-1.15,-4.05,-18.32,0.15,2
1619935,0.64,0.99,-0.79,-2.09,0.63,10.42,-1.00,-5.39,-18.54,0.86,2
1619942,0.50,0.99,-0.92,-2.09,0.44,10.38,-0.87,-6.77,-18.45,0.61,2
1619949,0.36,0.99,-1.05,-2.09,0.43,10.38,-0.66,-7.17,-18.22,-0.52,2
1619956,0.22,0.99,-1.18,-2.09,0.32,10.39,-0.44,-8.47,-17.77,-0.59,2
1619963,0.07,0.99,-1.32,-2.09,0.38,10.44,-0.38,-10.13,-17.36,-1.22,2
1619970,-0.06,6.05,-1.46,3.68,0.45,10.47,-0.26,-11.08,-17.07,-0.98,2
