Time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1961422,1.02,10.35,-0.12,0.42,0,0.46
1961429,1.04,10.36,-0.1,0.37,-0.07,0.34
1961436,1.03,10.35,-0.1,0.33,-0.07,0.31
1961443,1.03,10.35,-0.1,0.27,-0.09,0.26
1961450,1.03,10.35,-0.1,0.24,-0.12,0.29
1961457,1.04,10.35,-0.1,0.23,-0.07,0.27
1961464,1.04,10.36,-0.1,0.19,-0.07,0.29
1961471,1.04,10.36,-0.09,0.18,-0.06,0.33
1961478,1.04,10.36,-0.08,0.14,-0.04,0.33
1961485,1.03,10.35,-0.08,0.12,-0.02,0.37
1961492,1.03,10.35,-0.07,0.08,-0.03,0.39
1961499,1.03,10.35,-0.07,0.04,-0.02,0.41
1961506,1.03,10.35,-0.07,-0.02,-0.04,0.42
1961513,1.02,10.35,-0.07,-0.11,-0.04,0.37
1961520,1.01,10.34,-0.07,-0.18,0.03,0.43
1961527,1,10.34,-0.08,-0.3,0.11,0.42
1961534,1,10.34,-0.09,-0.38,0.2,0.41
1961541,1.02,10.32,-0.11,-0.5,0.27,0.48
1961548,1.01,10.32,-0.13,-0.66,0.32,0.45
1961555,1.03,10.28,-0.16,-0.83,0.37,0.5
1961562,1.01,10.35,-0.17,-1.07,0.37,0.41
1961569,1,10.31,-0.18,-1.13,0.39,0.42
1961576,0.99,10.32,-0.18,-1.21,0.39,0.43
1961583,1,10.31,-0.16,-1.37,0.42,0.44
1961590,1.02,10.37,-0.14,-1.37,0.46,0.39
1961597,1.06,10.42,-0.11,-1.33,0.47,0.46
1961604,1.07,10.36,-0.07,-1.3,0.41,0.37
1961611,1.04,10.39,-0.04,-1.22,0.32,0.35
1961618,1,10.41,-0.03,-0.95,0.26,0.33
1961625,0.99,10.43,-0.03,-0.69,0.27,0.41
1961632,1.03,10.42,-0.05,-0.47,0.25,0.46
1961639,1.06,10.36,-0.03,-0.28,0.26,0.4
1961646,1.04,10.35,-0.03,-0.14,0.28,0.42
1961653,1.03,10.36,-0.04,-0.02,0.29,0.52
1961661,1.01,10.32,-0.04,-0.19,0.3,0.46
1961668,1.01,10.33,-0.05,-0.25,0.32,0.51
1961675,1.02,10.33,-0.06,-0.44,0.33,0.49
1961682,1.03,10.32,-0.07,-0.59,0.26,0.36
1961689,1.05,10.33,-0.07,-0.56,0.22,0.26
1961696,1.04,10.3,-0.03,-0.71,0.12,0.32
1961703,1.04,10.34,-0.01,-1,0.04,0.2
1961710,1.02,10.35,0.01,-0.95,-0.07,0.14
1961717,1.04,10.34,0.05,-0.82,-0.14,0.18
1961724,1.02,10.29,0.09,-1.19,-0.14,-0.03
1961731,1.06,10.28,0.1,-0.81,-0.07,0.26
1961738,1.02,10.29,0.11,-1.01,-0.08,0.34
1961745,1.04,10.37,0.1,-1.24,-0.18,0.31
1961752,1.02,10.26,0.11,-1.49,-0.1,0.74
1961759,1.05,10.25,0.06,-2.2,-0.22,0.26
1961766,1.06,10.23,0.09,-2.78,-0.39,0.06
1961773,1.04,10.28,0.08,-2.79,-0.61,-0.03
1961780,0.97,10.26,0.14,-2.88,-0.62,0.09
1961787,1.01,10.22,0.21,-3.22,-0.69,-0.15
1961794,1.02,10.15,0.3,-3.01,-0.68,0.17
1961801,1.06,10.15,0.48,-2.82,-0.67,0.67
1961808,1.06,10.25,0.63,-3.05,-0.51,1.46
