Time (ms),Input x,Output x,Input y,Output y,Accel x (+/- 0.1 m/s^2),Accel y (+/- 0.1 m/s^2),Accel z (+/- 0.1 m/s^2),Gyro x (+/- 0.2 rad/s),Gyro y (+/- 0.2 rad/s),Gyro z (+/- 0.2 rad/s),Flight Phase
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
249192,10.20,-13.23,-34.16,20.00,1.96,15.38,-1.87,0.11,-0.07,0.36,2
249199,10.17,-13.23,-34.12,20.00,1.95,15.37,-1.87,0.08,-0.06,0.41,2
249206,10.13,-13.23,-34.13,20.00,1.95,15.37,-1.87,0.04,-0.05,0.41,2
249213,10.12,-13.23,-34.11,20.00,1.95,15.37,-1.86,0.01,-0.03,0.39,2
249220,10.14,-13.23,-34.09,20.00,1.95,15.37,-1.86,-0.00,-0.03,0.37,2
249227,10.19,-13.23,-34.08,20.00,1.96,15.37,-1.86,-0.02,0.00,0.35,2
249234,10.26,-13.23,-34.09,20.00,1.97,15.37,-1.87,-0.02,-0.01,0.33,2
249241,10.24,-13.23,-34.00,20.00,1.97,15.35,-1.86,-0.05,0.00,0.30,2
249248,10.08,-13.23,-34.10,20.00,1.94,15.37,-1.86,-0.00,0.02,0.33,2
249255,10.07,-13.23,-34.08,20.00,1.94,15.37,-1.86,-0.02,0.03,0.23,2
249262,10.18,-13.23,-34.06,20.00,1.96,15.37,-1.86,-0.05,0.04,0.20,2
249269,10.25,-13.23,-34.12,20.00,1.97,15.37,-1.87,-0.04,0.05,0.22,2
249276,10.27,-13.23,-34.18,20.00,1.97,15.38,-1.88,-0.07,0.05,0.23,2
249283,10.22,-13.23,-34.24,20.00,1.96,15.39,-1.87,-0.16,0.00,0.15,2
249290,9.99,-13.23,-34.01,20.00,1.92,15.35,-1.87,-0.18,0.05,0.24,2
249297,9.71,-7.05,-33.93,20.00,1.87,15.33,-1.86,-0.18,0.11,0.01,2
249304,10.10,-7.05,-33.69,20.00,1.94,15.29,-1.86,-0.30,0.23,-0.30,2
249311,10.31,-7.05,-33.91,20.00,1.97,15.32,-1.88,-0.38,0.34,-0.32,2
249318,10.47,-7.05,-34.31,20.00,2.01,15.41,-1.88,-0.47,0.42,-0.17,2
249325,10.13,-7.05,-34.37,20.00,1.95,15.42,-1.88,-0.48,0.49,-0.08,2
249332,10.04,-7.05,-34.30,20.00,1.94,15.42,-1.84,-0.57,0.44,-0.11,2
249339,10.20,-7.05,-33.69,20.00,1.97,15.33,-1.80,-0.62,0.41,-0.09,2
249346,9.97,-7.05,-33.52,20.00,1.92,15.30,-1.79,-0.70,0.37,0.08,2
249353,10.17,-7.05,-33.26,20.00,1.95,15.24,-1.81,-0.70,0.34,-0.05,2
249360,9.74,-7.05,-35.55,20.00,1.91,15.68,-1.84,-0.63,0.40,-0.11,2
249367,10.80,-7.05,-34.12,20.00,2.07,15.41,-1.84,-0.66,0.52,-0.18,2
249374,10.39,-7.05,-33.42,20.00,1.98,15.25,-1.84,-0.54,0.44,0.03,2
249381,9.85,-7.05,-34.68,20.00,1.91,15.47,-1.88,-0.39,0.60,-0.35,2
249388,9.58,-7.05,-33.40,20.00,1.83,15.19,-1.90,-0.54,0.63,-0.12,2
249395,9.52,-7.05,-34.62,20.00,1.84,15.43,-1.91,-0.31,0.70,-0.38,2
249402,9.78,-7.41,-34.19,20.00,1.88,15.34,-1.92,-0.35,0.93,-0.62,2
249409,10.27,-7.41,-34.18,20.00,1.97,15.36,-1.90,-0.24,1.02,-0.54,2
249416,10.04,-7.41,-34.43,20.00,1.94,15.43,-1.87,-0.04,1.21,-0.27,2
249423,9.55,-7.41,-34.21,20.00,1.86,15.41,-1.82,0.08,1.30,-0.41,2
249430,9.25,-7.41,-34.19,20.00,1.82,15.44,-1.76,0.12,1.57,-0.62,2
249437,9.94,-7.41,-33.63,20.00,1.94,15.38,-1.69,0.10,1.79,-0.88,2
249444,9.96,-7.41,-33.84,20.00,1.95,15.44,-1.68,-0.01,1.93,-0.79,2
249451,10.00,-7.41,-33.85,20.00,1.96,15.44,-1.68,-0.11,1.96,-0.74,2
249458,9.51,-7.41,-33.92,20.00,1.88,15.46,-1.66,-0.25,2.03,-0.70,2
249465,9.76,-7.41,-34.65,20.00,1.91,15.52,-1.79,-0.13,2.13,-1.02,2
249472,10.24,-7.41,-34.89,20.00,1.98,15.53,-1.88,0.12,2.24,-0.76,2
249479,10.17,-7.41,-33.99,20.00,1.95,15.34,-1.87,0.16,2.18,-0.61,2
249486,9.65,-7.41,-33.91,20.00,1.86,15.33,-1.85,0.01,2.18,-0.74,2
249493,9.07,-7.41,-33.28,20.00,1.77,15.24,-1.77,0.10,2.25,-1.35,2
249500,9.33,-7.41,-32.50,20.00,1.80,15.09,-1.76,-0.56,2.23,-1.96,2
