# Simulation 1 (Up to date)
# 165 data points written for 8 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Large angle of attack encountered (21.6).
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Angle of attack (°),Pitch rate (°/s),Mass (g),Thrust (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.783e-4,0.096,9.566,92.558,0,1141.082,0.258
0.02,-4.557e-4,0.091,9.114,92.446,0,1141.036,0.774
0.03,-4.331e-4,0.087,8.661,92.333,0,1140.99,1.29
0.04,-4.105e-4,0.082,8.209,92.219,0,1140.944,1.806
0.05,-3.878e-4,0.078,7.757,92.104,0,1140.898,2.322
0.06,-3.652e-4,0.073,7.304,91.962,0,1140.851,2.838
0.07,-3.426e-4,0.069,6.852,91.822,0,1140.805,3.355
0.08,-3.2e-4,0.064,6.399,91.685,0,1140.759,3.871
0.09,-2.973e-4,0.059,5.947,91.551,0,1140.713,4.387
0.1,-2.747e-4,0.055,5.494,91.419,0,1140.667,4.903
0.11,-2.521e-4,0.05,5.041,91.295,0,1140.62,5.419
0.12,-2.294e-4,0.046,4.589,91.173,0,1140.574,5.935
0.13,-2.068e-4,0.041,4.136,91.052,0,1140.528,6.451
0.14,-1.842e-4,0.037,3.683,90.932,0,1140.482,6.967
0.15,-1.615e-4,0.032,3.229,90.813,0,1140.421,7.484
0.16,-1.37e-4,0.027,2.74,90.69,0,1140.301,8.042
0.17,-1.117e-4,0.022,2.233,90.563,0,1140.18,8.619
0.18,-8.634e-5,0.017,1.726,90.436,0,1140.06,9.196
0.19,-6.1e-5,0.012,1.219,90.308,0,1139.94,9.772
0.2,-3.565e-5,0.007,0.712,90.18,0,1139.819,10.349
0.21,-1.03e-5,0.002,0.205,90.053,0,1139.699,10.926
0.22,1.506e-5,0.003,0.302,89.922,0,1139.579,11.503
0.23,8.568e-5,0.011,0.81,89.709,0,1139.448,12.081
0.24,2.641e-4,0.025,1.348,89.347,0,1139.275,12.692
0.25,6.049e-4,0.044,1.9,88.827,0,1139.101,13.319
0.26,0.001,0.068,2.453,88.147,0,1138.928,13.946
0.27,0.002,0.098,3.005,87.301,0,1138.755,14.573
0.28,0.003,0.134,3.558,86.283,0,1138.582,15.2
0.29,0.005,0.175,4.11,85.09,0,1138.409,15.827
0.3,0.007,0.221,4.667,83.716,0,1138.207,16.457
0.31,0.009,0.274,5.237,82.139,0,1137.985,17.103
0.32,0.012,0.332,5.809,80.366,0,1137.764,17.75
0.33,0.016,0.396,6.381,78.398,0,1137.543,18.398
# Event LIFTOFF occurred at t=0.34 seconds
0.34,0.02,0.465,6.953,76.237,0,1137.321,19.045
0.35,0.025,0.54,7.525,73.892,0,1137.1,19.692
0.36,0.031,0.622,8.148,71.675,0,1136.852,20.396
0.37,0.038,0.711,8.915,69.324,0,1136.592,21.264
0.38,0.045,0.808,9.692,66.859,0,1136.332,22.141
0.39,0.054,0.912,10.413,64.321,0,1136.048,22.955
0.4,0.063,1.022,11.017,61.76,0,1135.757,23.636
0.41,0.074,1.138,11.618,59.205,0,1135.467,24.313
0.42,0.086,1.26,12.215,56.671,0,1135.176,24.984
0.43,0.1,1.383,12.264,54.283,0,1134.884,25.034
0.44,0.114,1.502,11.937,52.106,0,1134.592,24.657
0.45,0.13,1.618,11.609,50.121,0,1134.299,24.28
0.46,0.146,1.731,11.282,48.47,0,1134.007,23.903
0.47,0.164,1.841,10.954,46.976,0,1133.715,23.526
0.48,0.183,1.947,10.62,45.626,0,1133.431,23.143
0.49,0.203,2.049,10.198,44.416,0,1133.165,22.659
0.5,0.224,2.146,9.744,43.337,0,1132.899,22.141
0.51,0.246,2.239,9.29,41.891,0,1132.634,21.623
0.52,0.269,2.328,8.836,40.556,0,1132.368,21.104
0.53,0.293,2.413,8.505,39.307,0,1132.127,20.725
0.54,0.317,2.496,8.296,38.125,0,1131.885,20.485
0.55,0.342,2.576,8.087,37.006,0,1131.644,20.245
0.56,0.369,2.655,7.878,36.258,0,1131.402,20.005
0.57,0.395,2.732,7.669,35.562,0,1131.161,19.765
0.58,0.423,2.806,7.459,34.912,0,1130.919,19.525
0.59,0.452,2.879,7.25,34.305,0,1130.678,19.285
0.6,0.481,2.949,7.056,33.738,0,1130.45,19.063
0.61,0.511,3.018,6.908,32.983,0,1130.229,18.892
