# Simulation 1 (Up to date)
# 165 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Large angle of attack encountered (21.6).
#
# Time (s),Roll rate (°/s),Yaw rate (°/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
# Event LIFTOFF occurred at t=0.34 seconds
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
# Event LAUNCHROD occurred at t=0.76 seconds
0.76,0,0
0.775,0,4.724e-6
0.798,0,-1.422e-5
0.831,0,-2.671e-5
0.881,0,2.84e-5
0.931,0,4.444e-5
0.981,0,-2.604e-5
1.031,0,2.016e-5
1.081,0,3.047e-5
1.131,0,-1.785e-6
1.181,0,9.412e-5
1.231,0,6.82e-5
1.281,0,-6.932e-6
1.331,0,5.037e-5
1.381,0,7.506e-5
1.431,0,1.068e-4
1.481,0,1.221e-4
1.531,0,1.806e-4
1.581,3.495e-7,8.496e-5
1.631,0,2.2e-4
1.681,0,2.158e-4
1.731,7.035e-7,8.019e-5
1.781,0,2.081e-4
1.831,0,2.484e-4
1.881,-6.821e-7,2.934e-4
1.931,-7.669e-7,2.699e-4
1.981,-6.015e-7,3.175e-4
2.031,5.206e-7,1.502e-4
2.081,-3.056e-7,1.959e-4
2.131,1.154e-6,9.691e-5
2.181,-1.087e-6,3.739e-4
2.231,0,1.865e-4
2.281,9.208e-7,1.518e-4
2.331,-2.124e-6,4.853e-4
2.381,-6.807e-7,3.437e-4
2.431,-1.382e-6,4.703e-4
2.481,6.674e-7,2.824e-4
2.531,4.031e-7,4.422e-4
2.581,1.577e-6,3.302e-4
2.631,1.043e-6,4.556e-4
2.681,0,4.49e-4
2.731,-2.519e-6,8.563e-4
2.781,3.384e-6,5.246e-4
2.831,-5.337e-7,9.86e-4
2.881,0,0.001
2.931,-2.194e-6,0.001
2.981,1.336e-6,0.001
3.031,2.678e-6,0.001
3.081,3.79e-6,0.002
3.131,4.427e-6,0.002
3.181,-3.764e-7,0.002
3.231,2.94e-6,0.002
3.281,-6.455e-7,0.003
3.331,-3.097e-6,0.003
3.381,1.318e-6,0.003
3.431,-3.962e-7,0.003
# Event BURNOUT occurred at t=3.45 seconds
# Event EJECTION_CHARGE occurred at t=3.45 seconds
3.45,3.043e-7,0.003
3.478,-4.258e-7,0.004
3.52,3.424e-6,0.004
3.57,-3.738e-6,0.005
3.62,2.641e-6,0.005
3.67,3.774e-6,0.005
3.72,0,0.006
3.77,-3.92e-6,0.007
3.82,-1.813e-6,0.007
3.87,2.409e-6,0.009
3.92,-1.815e-6,0.011
3.97,9.348e-7,0.013
4.02,0,0.016
4.07,-4.051e-7,0.023
4.12,0,0.035
4.17,1.103e-6,0.061
4.22,-1.28e-6,0.18
4.27,4.242e-7,0.152
4.32,-3.318e-7,0.052
4.37,-3.284e-7,0.033
4.42,0,0.025
4.47,-6.429e-7,0.02
# Event APOGEE occurred at t=4.52 seconds
4.52,-7.659e-7,0.017
4.57,-4.853e-7,0.015
# Event TUMBLE occurred at t=4.62 seconds
4.62,0,0.014
4.625,NaN,NaN
5.125,NaN,NaN
5.625,NaN,NaN
5.897,NaN,NaN
6.147,NaN,NaN
6.412,NaN,NaN
6.695,NaN,NaN
7.013,NaN,NaN
# Event GROUND_HIT occurred at t=7.237 seconds
# Event SIMULATION_END occurred at t=7.237 seconds
7.237,NaN,NaN
