# Simulation 1 (Up to date)
# 459 data points written for 22 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Large angle of attack encountered (180).
#   Stage began to tumble under thrust.
#   Flight Event occurred after landing:  Ejection charge
#
# Time (s),Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (cm),Stability margin calibers (​),Thrust (N),Pitch moment coefficient (​),Yaw moment coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Simulation time step (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.084,92.379,0,0,182.112,102.954,6.146e-4,4.929e-5,24.494,NaN,0.258,NaN,NaN,6,28.274,90,0,2.016,15,1013.25,0.01
0.02,0.055,91.552,0,0,182.066,102.908,6.145e-4,4.928e-5,24.494,NaN,0.774,NaN,NaN,6,28.274,90,0,2.044,15,1013.25,0.01
0.03,0.027,90.747,0,0,182.019,102.861,6.144e-4,4.928e-5,24.493,NaN,1.29,NaN,NaN,6,28.274,90,0,2.073,15,1013.25,0.01
0.04,0.001,89.964,0,0,181.973,102.815,6.144e-4,4.927e-5,24.493,NaN,1.806,NaN,NaN,6,28.274,90,0,2.102,15,1013.25,0.01
0.05,0.031,89.165,0,0,181.927,102.769,6.143e-4,4.927e-5,24.493,NaN,2.322,NaN,NaN,6,28.274,90,0,2.131,15,1013.25,0.01
0.06,0.089,87.609,0,0,181.881,102.723,6.142e-4,4.926e-5,24.492,NaN,2.838,NaN,NaN,6,28.274,90,0,2.135,15,1013.25,0.01
0.07,0.176,85.304,0,0,181.835,102.677,6.142e-4,4.926e-5,24.492,NaN,3.355,NaN,NaN,6,28.274,90,0,2.139,15,1013.25,0.01
0.08,0.291,82.275,0,0,181.788,102.63,6.141e-4,4.925e-5,24.491,NaN,3.871,NaN,NaN,6,28.274,90,0,2.143,15,1013.249,0.01
0.09,0.434,78.569,0,0,181.742,102.584,6.14e-4,4.925e-5,24.491,NaN,4.387,NaN,NaN,6,28.274,90,0,2.147,15,1013.249,0.01
0.1,0.606,74.265,0,0,181.696,102.538,6.14e-4,4.924e-5,24.49,NaN,4.903,NaN,NaN,6,28.274,90,0,2.151,15,1013.248,0.01
