# Time (s),Thrust (N),Drag force (N)
0.01,0.258,-2.983e-7
0.02,0.774,-1.046e-7
0.03,1.29,-1.987e-8
0.04,1.806,0
0.05,2.322,0
0.06,2.838,1.144e-7
0.07,3.355,1.096e-6
0.08,3.871,5.533e-6
0.09,4.387,1.938e-5
0.1,4.903,5.35e-5
0.11,5.419,1.268e-4
0.12,5.935,2.637e-4
0.13,6.451,4.944e-4
0.14,6.967,8.515e-4
0.15,7.484,0.001
0.16,8.042,0.002
0.17,8.619,0.003
0.18,9.196,0.004
0.19,9.772,0.005
0.2,10.349,0.007
0.21,10.926,0.009
0.22,11.503,0.011
0.23,12.081,0.014
0.24,12.692,0.016
0.25,13.319,0.02
0.26,13.946,0.023
0.27,14.573,0.027
0.28,15.2,0.031
0.29,15.827,0.035
0.3,16.457,0.04
0.31,17.103,0.046
0.32,17.75,0.051
0.329,18.373,0.057
0.343,19.122,0.067
0.358,20.066,0.08
0.371,21.234,0.095
0.384,22.375,0.11
0.395,23.266,0.125
0.405,23.997,0.141
0.415,24.665,0.157
0.424,25.149,0.173
0.432,24.936,0.188
0.439,24.647,0.203
0.446,24.379,0.217
0.452,24.132,0.231
0.458,23.902,0.244
0.464,23.686,0.256
0.469,23.485,0.268
0.474,23.296,0.28
0.478,23.116,0.291
0.482,22.904,0.302
0.487,22.687,0.313
0.49,22.481,0.323
0.494,22.286,0.333
0.498,22.101,0.342
0.501,21.926,0.352
0.504,21.758,0.361
0.507,21.599,0.37
0.51,21.448,0.378
0.513,21.303,0.387
0.515,21.165,0.395
0.518,21.033,0.403
0.52,20.903,0.411
0.523,20.812,0.419
0.525,20.752,0.427
0.528,20.692,0.436
0.53,20.632,0.444
0.533,20.572,0.453
0.535,20.512,0.462
0.538,20.452,0.471
0.54,20.392,0.48
0.543,20.332,0.489
0.545,20.272,0.498
0.548,20.212,0.507
0.55,20.152,0.517
0.553,20.092,0.526
0.555,20.032,0.535
0.558,19.972,0.544
0.56,19.912,0.553
0.563,19.852,0.561
0.565,19.792,0.57
0.568,19.732,0.578
0.57,19.672,0.585
0.573,19.612,0.592
0.575,19.552,0.598
0.578,19.492,0.604
0.58,19.432,0.609
0.583,19.372,0.614
0.585,19.312,0.618
0.588,19.252,0.621
0.59,19.192,0.624
0.593,19.132,0.625
0.595,19.078,0.626
0.598,19.036,0.625
0.6,18.994,0.624
0.603,18.952,0.621
0.605,18.911,0.616
0.608,18.869,0.61
0.61,18.827,0.603
0.613,18.785,0.593
0.615,18.743,0.582
0.618,18.701,0.569
0.62,18.659,0.554
0.623,18.617,0.536
0.625,18.575,0.517
0.628,18.533,0.495
0.63,18.491,0.472
0.633,18.449,0.446
0.635,18.407,0.418
0.638,18.366,0.388
0.64,18.324,0.357
0.643,18.282,0.325
0.645,18.24,0.291
0.648,18.198,0.257
0.65,18.156,0.222
0.653,18.114,0.189
0.655,18.072,0.156
0.658,18.03,0.125
0.66,17.988,0.097
0.663,17.946,0.071
0.665,17.904,0.049
0.668,17.862,0.032
0.67,17.821,0.018
0.673,17.779,0.008
0.675,17.737,0.003
0.678,17.695,4.767e-4
