gimbalY,(WRT Quadrant I),GIMBAL Y,,gimbalX,,GIMBAL X,(WRT Quadrant I),,,,,,,,gimY,,GimX,
,,,,,,,,,,,,,,,-20,2424.6,-20,285.8
Servo Position,Gimbal Angle (Y),Gimbal Y,Servo PWM ,Servo Position,Gimbal X,Servo PWM ,Gimbal Angle (X),,,,,,,,-19.75,2410.164,-19.75,300.812
0,103,13,1000,0,-6.5,1000,83.5,,,,,,,,-19.5,2395.786,-19.5,315.788
5,102,12,1027.777778,5,-6,1027.777778,84,,,,,,,,-19.25,2381.466,-19.25,330.728
10,101,11,1055.555556,10,-5.5,1055.555556,84.5,,,,,,,,-19,2367.204,-19,345.632
15,100.5,10.5,1083.333333,15,-6,1083.333333,84,,,,,,,,-18.75,2353,-18.75,360.5
20,100,10,1111.111111,20,-5.25,1111.111111,84.75,,,,,,,,-18.5,2338.854,-18.5,375.332
25,99,9,1138.888889,25,-5,1138.888889,85,,,,,,,,-18.25,2324.766,-18.25,390.128
30,98.5,8.5,1166.666667,30,-4.5,1166.666667,85.5,,,,,,,,-18,2310.736,-18,404.888
35,97,7,1194.444444,35,-4,1194.444444,86,,,,,,,,-17.75,2296.764,-17.75,419.612
40,96.5,6.5,1222.222222,40,-3.5,1222.222222,86.5,,,,,,,,-17.5,2282.85,-17.5,434.3
45,96,6,1250,45,-3,1250,87,,,,,,,,-17.25,2268.994,-17.25,448.952
50,95.5,5.5,1277.777778,50,-2,1277.777778,88,,,,,,,,-17,2255.196,-17,463.568
55,94.5,4.5,1305.555556,55,-1,1305.555556,89,,,,,,,,-16.75,2241.456,-16.75,478.148
60,94,4,1333.333333,60,-0.5,1333.333333,89.5,,,,,,,,-16.5,2227.774,-16.5,492.692
65,93,3,1361.111111,65,-0.25,1361.111111,89.75,,,,,,,,-16.25,2214.15,-16.25,507.2
70,92,2,1388.888889,70,-0.25,1388.888889,89.75,,,,,,,,-16,2200.584,-16,521.672
75,91,1,1416.666667,75,0,1416.666667,90,,,,,,,,-15.75,2187.076,-15.75,536.108
80,90.5,0.5,1444.444444,80,0.5,1444.444444,90.5,,,,,,,,-15.5,2173.626,-15.5,550.508
85,90,0,1472.222222,85,1.5,1472.222222,91.5,,,,,,,,-15.25,2160.234,-15.25,564.872
90,89,-1,1500,90,2.5,1500,92.5,,,,,,,,-15,2146.9,-15,579.2
95,88,-2,1527.777778,95,3,1527.777778,93,,,,,,,,-14.75,2133.624,-14.75,593.492
100,87,-3,1555.555556,100,4,1555.555556,94,,,,,,,,-14.5,2120.406,-14.5,607.748
105,86,-4,1583.333333,105,5,1583.333333,95,,,,,,,,-14.25,2107.246,-14.25,621.968
110,85.5,-4.5,1611.111111,110,6,1611.111111,96,,,,,,,,-14,2094.144,-14,636.152
115,85,-5,1638.888889,115,6,1638.888889,96,,,,,,,,-13.75,2081.1,-13.75,650.3
120,84,-6,1666.666667,120,7,1666.666667,97,,,,,,,,-13.5,2068.114,-13.5,664.412
125,84,-6,1694.444444,125,7,1694.444444,97,,,,,,,,-13.25,2055.186,-13.25,678.488
130,83,-7,1722.222222,130,7.5,1722.222222,97.5,,,,,,,,-13,2042.316,-13,692.528
135,83,-7,1750,135,9,1750,99,,,,,,,,-12.75,2029.504,-12.75,706.532
140,81,-9,1777.777778,140,9.5,1777.777778,99.5,,,,,,,,-12.5,2016.75,-12.5,720.5
145,81,-9,1805.555556,145,10,1805.555556,100,,,,,,,,-12.25,2004.054,-12.25,734.432
150,80.5,-9.5,1833.333333,150,10,1833.333333,100,,,,,,,,-12,1991.416,-12,748.328
155,80.5,-9.5,1861.111111,155,11,1861.111111,101,,,,,,,,-11.75,1978.836,-11.75,762.188
160,80.5,-9.5,1888.888889,160,11,1888.888889,101,,,,,,,,-11.5,1966.314,-11.5,776.012
165,80,-10,1916.666667,165,12,1916.666667,102,,,,,,,,-11.25,1953.85,-11.25,789.8
170,80,-10,1944.444444,170,12,1944.444444,102,,,,,,,,-11,1941.444,-11,803.552
175,79.5,-10.5,1972.222222,175,13,1972.222222,103,,,,,,,,-10.75,1929.096,-10.75,817.268
180,79,-11,2000,180,13,2000,103,,,,,,,,-10.5,1916.806,-10.5,830.948
,,,,,,,,,,,,,,,-10.25,1904.574,-10.25,844.592
